age_bin,n,rmse_years,bias_years
"[4, 8)",38,1.302615930941281,-0.5473179077468472
"[8, 12)",43,1.0897069314486274,0.16059516393750162
"[12, 16)",47,1.5256664580056762,-0.043404837879312506
"[16, 19)",16,1.79861564248482,1.2631397180832658
