filename,description,sources
dataset_split_overview.png,Chronological-age distributions in the saved training/test split.,Data/y.csv; Data/train_test_split.csv
figure_1_train_loocv_model_comparison.png,"Final candidate comparison: absolute outer-LOOCV errors, ordered by RMSE.",outputs/model_comparison/comparison_oof_predictions.csv; outputs/model_comparison/comparison_metrics.csv
figure_3_test_jkplus_interval_diagnostics.png,Held-out test age predictions and 95% jackknife+ prediction intervals for chronological age.,outputs/train115_jkplus/train115_jkplus_test29_predictions.csv
figure_4_full_data_loocv_krr_diagnostics.png,Calibration plus chronological-age-bin RMSE and bias for full-data KRR OOF predictions.,artifacts/jackknife_plus_krr/coordination_age_krr_jackknife_plus_residuals.csv; Data/modeling_input_metadata.json
task_ablation_rmse.png,Task omission effects and cumulative backward elimination.,outputs/task_ablation/leave_one_experiment_out_metrics.csv; outputs/task_ablation/backward_path_metrics.csv
