role,n,rmse_years,mae_years,r_squared,empirical_interval_coverage,mean_interval_width_years
Train LOOCV (KRR),115,1.4214992671510223,1.1221772074706209,0.8698562885786176,,
Held-out test (train-fitted KRR),29,1.403451450722289,1.1518997974097387,0.8712832095174539,1.0,7.236136329014156
Full-data LOOCV (KRR),144,1.3861912490380979,1.095748318191531,0.8758821836519147,,
