rmse_rank,procedure,n,rmse_years,mae_years,r_squared
1,RBF Kernel Ridge,115,1.4214992671510223,1.122177207470621,0.8698562885786176
2,Lasso,115,1.4223771117993467,1.1084265934790651,0.8696954988554959
3,ElasticNet,115,1.4349775354759684,1.1225394680797187,0.867376613901059
4,Ridge,115,1.4575403654091044,1.1445519625279972,0.8631732253911342
5,OLS,115,1.4740404632019155,1.181362667590358,0.8600577932321442
6,Random Forest,115,1.7832877872295383,1.3649921597535013,0.7951798036481137
