step,subset_id,n_experiments,retained_groups,removed_at_step,n_predictors,train_oof_rmse,train_oof_mae,train_oof_r2,test_rmse,test_mae,test_r2,delta_train_oof_rmse,delta_test_rmse
0,groups_111111,6,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",,32,1.4214992671510223,1.122177207470621,0.8698562885786176,1.403451450722289,1.1518997974097387,0.8712832095174539,0.0,0.0
1,groups_011111,5,"['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",Box and Blocks,31,1.4134245304176256,1.1295872828636515,0.8713306354369182,1.4345451779969884,1.1869197114465664,0.8655165398435307,-0.008074736733396648,0.03109372727469939
2,groups_011011,4,"['Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",Reach-to-grasp,27,1.4761927451017227,1.1949617218622504,0.85964882892315,1.6239452816138031,1.3806913562122423,0.8276611470327027,0.05469347795070045,0.2204938308915141
3,groups_011001,3,"['Jebsen-Taylor', 'Finger pressing', 'Lift-object heavy']",Lift-object light,19,1.622857199634762,1.2996266576949072,0.8303747422528043,1.7188777635759436,1.4030110377371992,0.8069230626351366,0.2013579324837398,0.3154263128536545
4,groups_010001,2,"['Jebsen-Taylor', 'Lift-object heavy']",Finger pressing,15,1.8261032477841388,1.4379967259262016,0.7852265639571097,1.7988616332413228,1.4602980704558226,0.7885362483708986,0.40460398063311653,0.3954101825190337
5,groups_010000,1,['Jebsen-Taylor'],Lift-object heavy,7,2.2198701013902733,1.7740359109232902,0.6826159985578104,1.8932835317853303,1.4596574480463607,0.7657542450322886,0.798370834239251,0.4898320810630412
