omitted_experiment,delta_train_oof_rmse,paired_bootstrap_q025,paired_bootstrap_q975,probability_rmse_increase,bootstrap_reps
Box and Blocks,-0.008074736733396648,-0.09791906988904844,0.07104502429217043,0.4558,10000
Reach-to-grasp,0.06214455084624726,-0.041376385987740565,0.16232394356558988,0.8822,10000
Jebsen-Taylor,0.06407763218074924,-0.06270129980795108,0.18362341406211538,0.8398,10000
Lift-object light,0.08608334837685838,-0.0298169345960449,0.19865114739133397,0.9274,10000
Lift-object heavy,0.09602787888053088,-0.022876331311264278,0.21005570437402657,0.949,10000
Finger pressing,0.1077811390189829,-0.009230867049621854,0.21876279929767786,0.9642,10000
