features,fit_seconds,n_experiments,n_predictors,omitted_groups,retained_groups,run_signature,subset_id,train_oof_bias_age_minus_prediction,train_oof_mae,train_oof_r2,train_oof_rmse,retained_groups_fullfit,full_train_inner_cv_rmse,full_train_alpha,full_train_gamma,test_rmse,test_mae,test_r2,test_bias_age_minus_prediction,full_fit_seconds,delta_train_oof_rmse,delta_test_rmse
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",104.11033779208083,6,32,[],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111111,0.053732364476930985,1.122177207470621,0.8698562885786176,1.4214992671510223,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",1.508595071337025,0.001,0.001,1.403451450722289,1.1518997974097387,0.8712832095174539,0.3368662680417664,3.1881088329246268,0.0,0.0
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",104.64760666596703,5,31,['Box and Blocks'],"['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011111,0.04101442326159455,1.1295872828636515,0.8713306354369182,1.4134245304176256,"['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",1.454859019037218,0.001,0.001,1.4345451779969884,1.1869197114465664,0.8655165398435307,0.35318433241664376,0.9426215840503573,-0.008074736733396648,0.03109372727469939
"['Sex_0Female_1Male', 'boxAndBlocks', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",106.80271533294581,5,26,['Jebsen-Taylor'],"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_101111,0.02528897793661617,1.1809223012585441,0.8578587329236478,1.4855768993317715,"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",1.5124183365451895,0.03162277660168379,0.01,1.4938823933336067,1.3114281627978828,0.8541611496239975,0.16140448849911654,0.8789237909950316,0.06407763218074924,0.09043094261131768
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.55122324998956,5,28,['Finger pressing'],"['Box and Blocks', 'Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_110111,-0.020365364134805056,1.2415388135807717,0.8493725389211229,1.5292804061700054,"['Box and Blocks', 'Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",1.6619388718225458,0.01,0.0003,1.536009626089265,1.2760637988036105,0.8458199119117633,0.03654186102784074,0.9259199589723721,0.10778113901898312,0.132558175366976
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.38810233399272,5,28,['Reach-to-grasp'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111011,0.03707052119350314,1.1893451180040748,0.8582284099967068,1.4836438179972693,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",1.6029586792395418,0.00031622776601683794,0.0003,1.6238181459465726,1.3376150918973337,0.8276881301554062,0.109074741496866,0.9189367919461802,0.06214455084624704,0.22036669522428354
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",109.72307020798326,5,24,['Lift-object light'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111101,0.028334832931120817,1.211024182761919,0.8536164925047692,1.5075826155278806,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object heavy']",1.5745238790398708,0.01,0.003,1.4841493157221057,1.2064234400104132,0.8560553238320537,0.2860864214335471,0.8497877080226317,0.08608334837685838,0.08069786499981668
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakLoadForceLight', 'peakGripForceRateLight', 'peakLoadForceRateLight', 'T1T3Light', 'T1T5Light', 'liftMeanDifferencesLight', 'numPeaksLight']",113.30683424999006,5,24,['Lift-object heavy'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111110,-0.023039603216131656,1.1787874895050394,0.8516789317524663,1.5175271460315531,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']",1.587593695988132,0.1,0.001,1.4696916196882852,1.2345746306840413,0.8588461103041444,-0.06858095956947674,0.8534836249891669,0.09602787888053088,0.06624016896599616
"['Sex_0Female_1Male', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.75557150004897,4,25,"['Box and Blocks', 'Jebsen-Taylor']","['Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_001111,0.029390179474368696,1.2376158699269784,0.8340661020943388,1.605101881637485,,,,,,,,,,0.18360261448646265,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",118.6428175419569,4,27,"['Box and Blocks', 'Finger pressing']","['Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_010111,0.014161901405366118,1.2627581047278056,0.8454541754520978,1.5490437515723376,,,,,,,,,,0.12754448442131538,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",123.80690479197074,4,27,"['Box and Blocks', 'Reach-to-grasp']","['Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011011,0.042727624567692954,1.1949617218622504,0.85964882892315,1.4761927451017227,"['Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",1.5600970322961667,0.001,0.001,1.6239452816138031,1.3806913562122423,0.8276611470327027,0.22409395898872078,0.8815757499542087,0.05469347795070045,0.2204938308915141
