omitted_experiment,n_predictors,train_oof_rmse,delta_train_oof_rmse,train_oof_mae,train_oof_r2,test_rmse,delta_test_rmse,test_mae,test_r2
None (all experiments),32,1.4214992671510223,0.0,1.122177207470621,0.8698562885786176,1.403451450722289,0.0,1.1518997974097387,0.8712832095174539
Box and Blocks,31,1.4134245304176256,-0.008074736733396648,1.1295872828636515,0.8713306354369182,1.4345451779969884,0.03109372727469939,1.1869197114465664,0.8655165398435307
Jebsen-Taylor,26,1.4855768993317715,0.06407763218074924,1.1809223012585441,0.8578587329236478,1.4938823933336067,0.09043094261131768,1.3114281627978828,0.8541611496239975
Finger pressing,28,1.5292804061700054,0.10778113901898312,1.2415388135807717,0.8493725389211229,1.536009626089265,0.132558175366976,1.2760637988036105,0.8458199119117633
Reach-to-grasp,28,1.4836438179972693,0.06214455084624704,1.1893451180040748,0.8582284099967068,1.6238181459465726,0.22036669522428354,1.3376150918973337,0.8276881301554062
Lift-object light,24,1.5075826155278806,0.08608334837685838,1.211024182761919,0.8536164925047692,1.4841493157221057,0.08069786499981668,1.2064234400104132,0.8560553238320537
Lift-object heavy,24,1.5175271460315531,0.09602787888053088,1.1787874895050394,0.8516789317524663,1.4696916196882852,0.06624016896599616,1.2345746306840413,0.8588461103041444
