model,n_predictors,oof_rmse,oof_mae,oof_r2,delta_oof_rmse_vs_original,delta_oof_mae_vs_original
Original KRR,32,1.3861912490380979,1.095748318191531,0.8758821836519147,0.0,0.0
KRR without Box and Blocks,31,1.368908112361489,1.0670692050518928,0.8789579097030439,-0.017283136676608857,-0.028679113139638224
