fit_role,loo_position,sample_id,n_fit_observations,inner_cv_rmse,fit_seconds,best_parameters,model__regressor__alpha,model__regressor__gamma
leave_one_out,30.0,38.0,114,1.4038990127787132,0.8822768749669194,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,31.0,40.0,114,1.412688677094171,0.8819452919997275,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,32.0,41.0,114,1.3836057849025616,0.8859687079675496,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,33.0,43.0,114,1.4034630929779772,0.8906380420085043,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,34.0,44.0,114,1.3800607213543512,0.8884279580088332,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,35.0,45.0,114,1.3825883429956682,0.9070097920484841,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,36.0,46.0,114,1.3893441634941919,0.9078166249673814,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,37.0,49.0,114,1.3919234490717072,1.030700665898621,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,38.0,50.0,114,1.382694361389101,0.8837381249759346,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,39.0,51.0,114,1.3815868217364078,0.8882717919768766,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,40.0,52.0,114,1.3861806191834414,0.8758600419387221,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,41.0,53.0,114,1.3737998535725928,0.8746845409041271,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,42.0,54.0,114,1.376033154907321,0.8958461669972166,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,43.0,55.0,114,1.381362170986282,0.8732929580146447,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,44.0,56.0,114,1.37896539898651,0.880629583960399,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,45.0,58.0,114,1.4155021668782848,0.8672463750699535,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
